time, vx, vy
591, 3.79431e-13, 2.7792e-13
592, 3.80306e-13, 2.79058e-13
593, 3.81182e-13, 2.80198e-13
594, 3.8206e-13, 2.8134e-13
595, 3.82939e-13, 2.82483e-13
596, 3.8382e-13, 2.83629e-13
597, 3.84703e-13, 2.84775e-13
598, 3.85587e-13, 2.85924e-13
599, 3.86472e-13, 2.87075e-13
600, 3.87359e-13, 2.88227e-13
601, 3.88248e-13, 2.89381e-13
602, 3.89138e-13, 2.90537e-13
603, 3.9003e-13, 2.91694e-13
604, 3.90923e-13, 2.92854e-13
605, 3.91818e-13, 2.94015e-13
606, 3.92714e-13, 2.95178e-13
607, 3.93613e-13, 2.96343e-13
608, 3.94512e-13, 2.9751e-13
609, 3.95414e-13, 2.98679e-13
610, 3.96317e-13, 2.99849e-13
611, 3.97221e-13, 3.01022e-13
612, 3.98128e-13, 3.02196e-13
613, 3.99036e-13, 3.03373e-13
614, 3.99946e-13, 3.04551e-13
615, 4.00857e-13, 3.05731e-13
616, 4.0177e-13, 3.06913e-13
617, 4.02685e-13, 3.08097e-13
618, 4.03602e-13, 3.09284e-13
619, 4.04522e-13, 3.10472e-13
620, 4.05443e-13, 3.11663e-13
621, 4.06367e-13, 3.12857e-13
622, 4.07293e-13, 3.14052e-13
623, 4.08222e-13, 3.1525e-13
624, 4.09154e-13, 3.16451e-13
625, 4.10088e-13, 3.17655e-13
626, 4.11025e-13, 3.18861e-13
627, 4.11966e-13, 3.20071e-13
628, 4.1291e-13, 3.21283e-13
629, 4.13857e-13, 3.22499e-13
630, 4.14808e-13, 3.23718e-13
631, 4.15763e-13, 3.2494e-13
632, 4.16722e-13, 3.26166e-13
633, 4.17685e-13, 3.27397e-13
634, 4.18652e-13, 3.28631e-13
635, 4.19624e-13, 3.29869e-13
636, 4.20601e-13, 3.31113e-13
637, 4.21583e-13, 3.32361e-13
638, 4.22571e-13, 3.33614e-13
639, 4.23564e-13, 3.34873e-13
640, 4.24564e-13, 3.36137e-13
