time, vx, vy
455, -4.94128e-16, 6.18234e-16
456, -4.94129e-16, 6.18238e-16
457, -4.9413e-16, 6.18242e-16
458, -4.9413e-16, 6.18247e-16
459, -4.94131e-16, 6.18251e-16
460, -4.94132e-16, 6.18256e-16
461, -4.94134e-16, 6.18261e-16
462, -4.94135e-16, 6.18267e-16
463, -4.94137e-16, 6.18273e-16
464, -4.94138e-16, 6.1828e-16
465, -4.9414e-16, 6.18288e-16
466, -4.94143e-16, 6.18296e-16
467, -4.94145e-16, 6.18306e-16
468, -4.94148e-16, 6.18317e-16
469, -4.94152e-16, 6.18329e-16
470, -4.94156e-16, 6.18345e-16
471, -4.94161e-16, 6.18364e-16
472, -4.94168e-16, 6.18388e-16
473, -4.94175e-16, 6.18422e-16
474, -4.94183e-16, 6.18472e-16
475, -4.94187e-16, 6.18564e-16
476, -4.94122e-16, 6.18836e-16
477, -1.49623e-15, -2.057e-15
478, -1.49604e-15, -2.05697e-15
479, -1.496e-15, -2.05696e-15
480, -1.49598e-15, -2.05696e-15
481, -1.49597e-15, -2.05696e-15
482, -1.49596e-15, -2.05696e-15
483, -1.49596e-15, -2.05696e-15
484, -1.49595e-15, -2.05696e-15
485, -1.49595e-15, -2.05696e-15
486, -1.49594e-15, -2.05696e-15
487, -1.49594e-15, -2.05696e-15
488, -1.49594e-15, -2.05696e-15
489, -1.49593e-15, -2.05696e-15
490, -1.49593e-15, -2.05696e-15
491, -1.49592e-15, -2.05696e-15
492, -1.49592e-15, -2.05696e-15
493, -1.49591e-15, -2.05697e-15
494, -1.49591e-15, -2.05697e-15
495, -1.4959e-15, -2.05697e-15
496, -1.4959e-15, -2.05697e-15
497, -1.49589e-15, -2.05697e-15
498, -1.49589e-15, -2.05697e-15
499, -1.49588e-15, -2.05698e-15
500, -1.49587e-15, -2.05698e-15
